Client,Project,Project Code,Currency,Project Status,Total Hours
Indorama,"Claim against Semurg Insurance (SoS 11,19,23,27)",,UZS,,
Indorama,Day to day activity,,UZS,,
Indorama,EMG (SOS 4),,UZS,,
Indorama,IA_KOSON_YOG (SOS 14),,UZS,,
Indorama,IKT vs. Agro Shumnay Cluster (SOS 11),,UZS,,
Indorama,IKT_TRANSFORMATION,,UZS,,
Indorama,INDORAMA VS KHOKIMIYAT,,UZS,,
Indorama,Indorama vs Xovos Don,,UZS,,
Indorama,KATTAKURGAN CLUSTER - ревизионная инстанция (SOS 15),,UZS,,
Indorama,KATTAKURGAN CLUSTER- кассация  (SOS 13),,UZS,,
Indorama,KATTAKURGAN CLUSTER- пересмотр по вновь открывшимся (SOS 9),,UZS,,
Indorama,KATTAKURGAN CLUSTER-апелляционная жалоба (SOS 5),,UZS,,
Indorama,Kattakurgan issue (SOS 3),,UZS,,
Indorama,"Kholiyarov Abdusalom case (appeal, SoS 22)",KL-IR-32/22,UZS,,
Indorama,"Kholiyarov Abdusalom case (first instance, SoS 21)",,UZS,,
Indorama,Kholiyarov Abdusalom case (revision instance),,UZS,,
Indorama,Land allocation,,UZS,,
Indorama,Loan agreement (SOS 10),,UZS,,
Indorama,Nitro Oil - исполнительное производство,,UZS,,
Indorama,Nitro Oil – дело о неплатежеспособности,,UZS,,
Indorama,OLTIN MATO GROUP (SOS 6),,UZS,,
Indorama,Oq oltin,,UZS,,
Indorama,Oq Oltin - исполнительное производство,,UZS,,
Indorama,OQ OLTIN case,,UZS,,
Indorama,OQ OLTIN first instance (SOS 17),,UZS,,
Indorama,Oq Oltin – дело о неплатежеспособности,,UZS,,
Indorama,Payariq-Klaster,,UZS,,
Indorama,Price change issues,,UZS,,
Indorama,Real Agro Coton first instance (SOS 8),,UZS,,
Indorama,Recover Damages - Kattakurgan Cluster,,UZS,,
Indorama,Sardoba Appeal (SoS 20),,UZS,,
Indorama,"Sardoba case (appeal instance, new consideration, SOS 29)",,UZS,,
Indorama,"Sardoba case (revision instance, SoS 25)",,UZS,,
Indorama,Sardoba case (SOS 36),,UZS,,
Indorama,Sardoba court of first instance (SOS 12),,UZS,,
Indorama,Sardoba Dam (SOS 9),,UZS,,
Indorama,Sardoba issues,,UZS,,
Indorama,Uz Trade,,UZS,,
Indorama,UzTrade апелляция (ДС 8),,UZS,,
Indorama,Взыскание задолженности с Nitro Oil (SoS 26),,UZS,,
Indorama,Представление интересов клиента в споре с EMG в кассационной инстанции (SOS 10) Kokand,,UZS,,
Indorama Kokand Fertilizers,Appellate Case with BNH (SoS 2),,UZS,,
Indorama Kokand Fertilizers,Court Case with BNH (SoS 1),,UZS,,
Indorama Kokand Fertilizers,Revision instance BNH (regional),,UZS,,
Indorama Kokand Fertilizers,TAX ISSUE FONUS,,UZS,,
INNOTHERA,Labour matter legal services,,USD,,
INPARK GLOBAL,Day to Day Activities,,USD,,
INPARK GLOBAL,LLC Establishment,,USD,,
INTECSA,INTECSA - MEMO,,USD,,
INTECSA,Talimarjan TPP 900 MW,,USD,,
Integral Petroleum SA,Brokerage Contracts,,USD,,
Integrites,Debt Collection,,USD,,
Integrites,Garantee Agreement,,USD,,
Integrites,Wendy's franchise agreement review,,USD,,
Integrites,мемо (смена главы представительства),,USD,,
Integrites,Юрiя Фарм,,USD,,
INTRAWARE  INVESTMENTS,Bank Account,,UZS,,
INTRAWARE  INVESTMENTS,Increase of Charter & CP collection,,UZS,,
INTRAWARE  INVESTMENTS,SAB BT - Day to Day,,UZS,,
INTRAWARE  INVESTMENTS,UZBEK LLC Establishment,,UZS,,
ITE,SPA,,USD,,
IVANYAN AND PARTNERS,Mustakillik 25,,USD,,
JINKO POWER COMPANY,Solar energy projects,,USD,,
JunHe,Sinosure,,USD,,
Ken Anzai (TOKONA LLC),Day to day activity,,UZS,,
Ken Anzai (TOKONA LLC),Legal Opinion,,UZS,,
KIND,RO accreditation,,EUR,,
KNOC,Liquidation,,USD,,
KOLOTILOV,DELO 1_KOLOTILOV_ZARUBEJSTROY,,EUR,,
KOLOTILOV,DELO 2_KOLOTILOV_ZARUBEJSTROY,,EUR,,
Korean Airlines,Advising on aviation regulatory DD,,USD,,
Korean Telecom,Telecom Merge,,USD,,
Kosta Legal,Business Development,,USD,,
Kosta Legal,Publications,,USD,,
KPC,Court case,,USD,,
KROHNE ENGINEERING,KROHNEvsUNG,,EUR,,
LACTALIS,NESTLE M&A (DD Part),,EUR,,
LAINTEX VETERANI (Spain),Debt Collection,,EUR,,
LAINTEX VETERANI (Spain),Lantex vs PSM Group,,EUR,,
LAINTEX VETERANI (Spain),Недвижимость,,EUR,,
Landesbank Baden-Wurttemberg,Advising on Loan Agreement and Surety,,EUR,,
Landesbank Baden-Wurttemberg,Amendment to loan agreement,,EUR,,
Landesbank Baden-Wurttemberg,Hamkorbank matter,,EUR,,
Landesbank Baden-Wurttemberg,Kapitalbank financing,,EUR,,
Landesbank Baden-Wurttemberg,Remedy Group Transaction,,EUR,,
Landesbank Baden-Wurttemberg,Review of employment agreement,,EUR,,
Landesbank Baden-Wurttemberg,Transaction RICOMEL Beverages,,EUR,,
Landesbank Baden-Wurttemberg,Transaction with Turonbank,,EUR,,
LAUDE ESQUIER CHAMPEY (FRANCE),Priduct Liability Memo,,USD,,
LC Waikiki,Legal Services,,UZS,,
LEE & KO,KEXIM- TASHKENT WASTEWATER,,USD,,
Linde Gaz Kazakhstan,Legal services,,EUR,,
Linklaters,KEPCO,,USD,,
Linklaters,KNOC,,USD,,
Linklaters,Landfill gas to power,,USD,,
LIQVOR,Questions reg Rep office,,USD,,
LORICA LTD,HOTEL Khadra,,USD,,
Mark & Control Sys,Labelling,,USD,,
Marmon Cornelius,Import Contract,,EUR,,
MASDAR,ADB Sherabad,,USD,,
MASDAR,BESSx5,,USD,,
MASDAR,CMEC Legal Opinion,,USD,,
MASDAR,Domino project,,USD,,
MASDAR,EBRD Wind,,USD,,
MASDAR,Energy Generation License,,USD,,
MASDAR,Guzar district ADB II Project,,USD,,
MASDAR,HoT Masdar sell down,,USD,,
MASDAR,IFC SS II – Jizzakh/Samarkand,,USD,,
MASDAR,IFC SS II – Jizzakh/Samarkand (3 фаза),,USD,,
MASDAR,Independent review - BSI grievance,,USD,,
MASDAR,Nukus Wind II,,USD,,
MASDAR,Scaling Solar,,USD,,
MASDAR,Scaling Solar III-Bukhara,,USD,,
MASDAR,Transfer and Assignment of PPA,,USD,,
MASDAR,Wind 1GW,,USD,,
Masdar Power Services,General Legal Services,,UZS,,
Masdar Uzbekistan,"JIZZAKH (NJP), SAMARKAND (NSP), SHERABAD (NShP)",,UZS,,
Masdar Uzbekistan,Legal services,,UZS,,
Mashreqbank,Advising financing with SQB,,USD,,
Mashreqbank,Agrobank Facility Agreement,,USD,,
Mashreqbank/Hogan Lovells,Advising on financing to Business Development Bank,,USD,,
Masterrind,Andijon Nasl Yuksalish,,EUR,,
Masterrind,Debt Collection,,EUR,,
Masterrind,Supply Contracts,,EUR,,
MAXAM CENTRAL ASIA,building sale,,USD,,
MAXAM CORP (SPAIN),Legal Supporting,,USD,,
MAXAM EXPORT,Export isuues,,USD,,
Maxam-Chirciq,Court hearing in Supreme Court (deposit's case),,UZS,,
Maxam-Chirciq,Заявление по вновь открывшимся,,UZS,,
Maxam-Chirciq,Патентное дело,,UZS,,
Maxam-Chirciq,спор с Узтрансгазом,,UZS,,
Maxima Legal,DD отчёт,,USD,,
Maxima Legal,ДКП доли мажоритария,,USD,,
Maxima Legal,Договор купли продажи недвижимости,,USD,,
Maxima Legal,Драфт ПКМ и Доп.Cоглашение,,USD,,
Maxima Legal,Залог доли,,USD,,
Maxima Legal,Импортные контракты (валютное регулирование),,USD,,
Maxima Legal,Ипотека недвижимости,,USD,,
Maxima Legal,ООО Напитки,,USD,,
Maxima Legal,Получение разрешения на работу,,USD,,
Maxima Legal,Расторжение договоров,,USD,,
Maxima Legal,Смена директора,,USD,,
Maxima Legal,Увеличение УФ на 1%,,USD,,
Mayer Brown,NBU Loan - Silk Road Fund,,USD,,
Meridiam,School Program,,USD,,
Meridiam & RNS,Fergana hospital,,EUR,,
Meridiam & RNS,Tashkent Schools ADB PPP,,EUR,,
METALLINVEST VOSTOK,налог на дивиденды,,UZS,,
METALLINVEST VOSTOK,Обжалование решения налоговой,,UZS,,
METALLINVEST VOSTOK,продажа доли,,UZS,,
METITO,Water Pumps,,USD,,
METSO,Procurement Contract with AMMC,,USD,,
MGAP,Подготовка заключения,,EUR,,
MIAHONA,Jizzakh/Quva project,,USD,,
MIAHONA,PED & PC Karakalpakstan,,USD,,
MIAHONA,STP & WTP projects,,USD,,
MIAHONA,Zomin EOM,,USD,,
MIKRO KAPITAL,Establishment of MCO,,EUR,,
MIKRO KAPITAL,Lease Company Registration,,EUR,,
Ministry of Economy and Finance,Advising on IPO/SPO,,USD,,
"Ministry of Investment, Industry and Trade",Investment Law,,USD,,
Mintos,Memo on Pledge,,EUR,,
Mintos,Pledge of rights,,EUR,,
Modern Construction Group,Регистрация СП,,USD,,
MOGO FINANCE,LLC Establishment,,EUR,,
MOGO FINANCE,Мемо по аренде авто,,EUR,,
Mogo Lend,Shareholder resolution,,EUR,,
MORGAN LEWIS,Avia Lease Payment Guarantee,,EUR,,
MORGAN LEWIS,HAVO YULLARI COURT DISPUTE,,EUR,,
MORGAN LEWIS,XAVO YULLARI,,EUR,,
MoveOne,Change of local director,,USD,,
MUFG,UNG - Sinosure Financing,,USD,,
MUFG,UNG - Syndicated Finance,,USD,,
MULTINATIONAL MINING GROUP,Advising on Eurobond issuance,,UZS,,
MULTIVAC,Corporate & employment matters,,EUR,,
MULTIVAC,Multivac RO termination 2020,,EUR,,
MURAD BUILDINGS,Совместное предприятие,,UZS,,
MURGOVA&PARTNERS,SAVB,,EUR,,
MY Freighter LLC,BOC aviation,,USD,,
NARDI SPA,Omega Auto,,USD,,
Narine Demir,Narine case,,USD,,
NBU,Advising on Reg S bonds issuance,,UZS,,
NBU,SILK ROAD FUND – LAND ISSUES,,UZS,,
NBU Invest Group,"Indigo (первая инстанция, новое рассмотрение)",,UZS,,
NBU Samarkand Invest,Silk Road Fund -  Samarkand Tourist Complex Project,,USD,,
NCD,Franchise Agreement,,USD,,
NCD,LLC establishment & WP,,USD,,
Nebras/Sojitz,BESS Tashkent,,USD,,
Nebras/Sojitz,Wind 1GW,,USD,,
NIKOLSKAYA,Dobersec_assets search,,USD,,
NIKOLSKAYA,Аэропорт Самарканд (2026),,USD,,
NIKOLSKAYA,НорНикель-Доберсек признание,,USD,,
